weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2023-05-28,Sunday,Kickboxing,1,1,A,CABLE LAT PULLDOWNS,Upper,FALSE,
2023-05-28,Sunday,Kickboxing,1,1,B,TRICEPS DIPS,Upper,FALSE,
2023-05-28,Sunday,Kickboxing,1,1,C,PLANK SUICIDES,Upper,FALSE,
2023-05-28,Sunday,Kickboxing,1,2,A,TORSO RAISES,Upper,FALSE,
2023-05-28,Sunday,Kickboxing,1,2,B,PLANK HOLD TRICEPS EXTENSIONS,Upper,FALSE,
2023-05-28,Sunday,Kickboxing,1,2,C,High Knee Sprints,Upper,FALSE,
2023-05-28,Sunday,Kickboxing,2,,A,1 – 6 - 3 - 4 - 1,Upper,FALSE,
2023-05-28,Sunday,Kickboxing,2,,B,3 - 2 - 3 - 6 - 1,Upper,FALSE,
2023-05-28,Sunday,Kickboxing,2,,C,20 SEC FREESTYLE,Upper,FALSE,
2023-05-28,Monday,Technique,1,1,A,BRIDGE HOLD CHEST PRESS,Mixed,FALSE,
2023-05-28,Monday,Technique,1,1,B,REVERSE BICEPS CURLS,Mixed,FALSE,
2023-05-28,Monday,Technique,1,1,C,EXTENDED PLANK TAPS,Mixed,FALSE,
2023-05-28,Monday,Technique,1,2,A,DIAMOND PUSH-UPS TO KNEE DRIVES,Mixed,FALSE,
2023-05-28,Monday,Technique,1,2,B,CABLE BICEPS CURLS HOLD,Mixed,FALSE,
2023-05-28,Monday,Technique,1,2,C,PARTNERS HALF BURPEE TO SB SQUATS,Mixed,FALSE,
2023-05-28,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2023-05-28,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2023-05-28,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2023-05-28,Tuesday,Boxing,1,1,A,KB SQUAT TO SHOULDER PRESS,Upper,FALSE,
2023-05-28,Tuesday,Boxing,1,1,B,PIKE PUSH-UPS,Upper,FALSE,
2023-05-28,Tuesday,Boxing,1,1,C,V-SET HOLD TO SLAM BALL TOSS,Upper,FALSE,
2023-05-28,Tuesday,Boxing,1,2,A,PARTNER SQUAT JUMPS,Upper,FALSE,
2023-05-28,Tuesday,Boxing,1,2,B,SQUAT HOLD FLAPPY BIRDS,Upper,FALSE,
2023-05-28,Tuesday,Boxing,1,2,C,SKIPPING LOW SQUAT JUMPS,Upper,FALSE,
2023-05-28,Tuesday,Boxing,2,,A,1 – 6 - 5 - 2 - 3,Upper,FALSE,
2023-05-28,Tuesday,Boxing,2,,B,1 - 2 - HALF SHUFFLE - 4 - 5,Upper,FALSE,
2023-05-28,Tuesday,Boxing,2,,C,20 SEC FREESTYLE,Upper,FALSE,
2023-05-28,Wednesday,Conditioning,1,1,A,SPIDERMAN PUSH-UPS,Lower,FALSE,
2023-05-28,Wednesday,Conditioning,1,1,B,WEIGHTED BRIDGE HOLD,Lower,FALSE,
2023-05-28,Wednesday,Conditioning,1,1,C,PARTNER V-SET SLAM BALL TOSS,Lower,FALSE,
2023-05-28,Wednesday,Conditioning,1,2,A,SINGLE ARM KB SWINGS,Lower,FALSE,
2023-05-28,Wednesday,Conditioning,1,2,B,ROLL BACK TO SQUAT JUMPS,Lower,FALSE,
2023-05-28,Wednesday,Conditioning,1,2,C,HALF BURPEES TO SLAM BALL,Lower,FALSE,
2023-05-28,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2023-05-28,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2023-05-28,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2023-05-28,Thursday,Kickboxing,1,1,A,RB ROWS,Mixed,FALSE,
2023-05-28,Thursday,Kickboxing,1,1,B,GLUTES KICKS,Mixed,FALSE,
2023-05-28,Thursday,Kickboxing,1,1,C,PLANK TO ARM RAISES,Mixed,FALSE,
2023-05-28,Thursday,Kickboxing,1,2,A,"WEIGHTED 1,2s",Mixed,FALSE,
2023-05-28,Thursday,Kickboxing,1,2,B,WEIGHTED LOW SQUAT BOUNCES,Mixed,FALSE,
