weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-12-21,Sunday,Kickboxing,1,1,A,BENT OVER ROWS,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,1,1,B,PLANK,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,1,1,C,LATERAL RAISES,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,1,2,A,OVERHEAD TRICEPS EXTENSIONS,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,1,2,B,LOW SPRINTS,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,1,2,C,FRONTAL RAISES,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,2,,A,"1,2, 2X R BODY KICK, L HIGH KICK",Upper,FALSE,
2025-12-21,Sunday,Kickboxing,2,,B,"1,2,STEP BK, FLYING FRONT KICK, ELBOW",Upper,FALSE,
2025-12-21,Sunday,Kickboxing,2,,C,FREESTYLE,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-12-21,Sunday,Kickboxing,3,,C,3 SHUFFLES TO PIVOT,Upper,FALSE,
2025-12-21,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-12-21,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-12-21,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-12-21,Monday,Technique,1,2,A,"STEP IN/1,2 / STEP BK,PARRY",Mixed,FALSE,
2025-12-21,Monday,Technique,1,2,B,"STEP IN/1,2 /STEP BK,PARRY,KNEE",Mixed,FALSE,
2025-12-21,Monday,Technique,1,2,C,"STEP IN/1,2 /…,KNEE, ELBOW",Mixed,FALSE,
2025-12-21,Monday,Technique,2,,A,1 - 4 - 3 - 4B - 3 - 4,Mixed,FALSE,
2025-12-21,Monday,Technique,2,,B,1 - 2 - SLIP R - 2 - SLIP R/L - 1 - 4 - WV R - 4,Mixed,FALSE,
2025-12-21,Monday,Technique,2,,C,"1,2,STEP BK/IN/R ELBOW 1,2,SWITCH/R ELBOW",Mixed,FALSE,
2025-12-21,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-12-21,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-12-21,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-12-21,Tuesday,Boxing,1,1,A,R SINGLE LEG DEADLIFT,Upper,FALSE,
2025-12-21,Tuesday,Boxing,1,1,B,HEEL SIT TO PLANKS,Upper,FALSE,
2025-12-21,Tuesday,Boxing,1,1,C,LOW SQUAT LATERAL STEPS,Upper,FALSE,
2025-12-21,Tuesday,Boxing,1,2,A,L SINGLE LEG DEADLIFT,Upper,FALSE,
2025-12-21,Tuesday,Boxing,1,2,B,POP SQUATS,Upper,FALSE,
2025-12-21,Tuesday,Boxing,1,2,C,LOW SQUAT FORWARD STEPS,Upper,FALSE,
2025-12-21,Tuesday,Boxing,2,,A,1 - 2 - 1 - 4 - 4 - 3B,Upper,FALSE,
2025-12-21,Tuesday,Boxing,2,,B,1 - 2 - SWITCH - 3 - 2 - 1,Upper,FALSE,
2025-12-21,Tuesday,Boxing,2,,C,"SWITCH, 2X HOOKS",Upper,FALSE,
2025-12-21,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2025-12-21,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-12-21,Tuesday,Boxing,3,,C,LEG TAGS,Upper,FALSE,
2025-12-21,Wednesday,Conditioning,1,1,A,"1,2 / SLIP R/L, 1,2",Lower,FALSE,
2025-12-21,Wednesday,Conditioning,1,1,B,"3,4/ BLOCK, 3,4",Lower,FALSE,
2025-12-21,Wednesday,Conditioning,1,1,C,STEP IN SHOULDER TAP,Lower,FALSE,
2025-12-21,Wednesday,Conditioning,2,,A,"20 SECS FREESTYLE 10 SECS RAPID 1,2S",Lower,FALSE,
2025-12-21,Wednesday,Conditioning,2,,B,20 SECS FREESTYLE 10 SECS STEP BK/IN ELBOW,Lower,FALSE,
2025-12-21,Wednesday,Conditioning,2,,C,20 SECS FREESTYLE 10 SECS RAPID KICKS,Lower,FALSE,
2025-12-21,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-12-21,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-12-21,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-12-21,Thursday,Kickboxing,1,1,A,TWISTING BICEPS CURLS,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,1,1,B,HIGH BOAT TO LOW BOAT,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,1,1,C,R BACKWARD LUNGE TO KNEE DRIVE,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,1,2,A,LATERAL RAISES,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,1,2,B,UPPERCUTS,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,1,2,C,L BACKWARD LUNGE TO KNEE DRIVE,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,2,,A,"1,2,3, R BODY KICK, 3",Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,2,,B,"1,2, STEP BK, FLYING KNEE",Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,2,,C,RAPID SIDEKICKS,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,3,,A,ATT/DEF,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,3,,B,LIGHT SPARRING,Mixed,FALSE,
2025-12-21,Thursday,Kickboxing,3,,C,HIP STRETCH,Mixed,FALSE,
2025-12-21,Saturday,Technique,1,1,A,ATT/DEF,Lower,FALSE,
2025-12-21,Saturday,Technique,1,1,B,ATT/DEF,Lower,FALSE,
2025-12-21,Saturday,Technique,1,1,C,ATT/DEF,Lower,FALSE,
2025-12-21,Saturday,Technique,1,2,A,"1,1 / LEAN BK, SLIP R",Lower,FALSE,
2025-12-21,Saturday,Technique,1,2,B,"1,1 / LEAN BK, SLIP R,6",Lower,FALSE,
2025-12-21,Saturday,Technique,1,2,C,"1,1 / LEAN BK, SLIP R,6,3,2",Lower,FALSE,
2025-12-21,Saturday,Technique,2,,A,1 - 2 - 1 - 1 - 2 - 3,Lower,FALSE,
2025-12-21,Saturday,Technique,2,,B,1 - 2 - SLIP R/1 - 4 - WEAVE R - 4 - 3,Lower,FALSE,
2025-12-21,Saturday,Technique,2,,C,"45 SECS SLIP R/JAB, STRT, L HOOK 45 SECS SLIP L/STRT, JAB, R HOOK",Lower,FALSE,
2025-12-21,Saturday,Technique,3,,A,Nonstop sparring,Lower,TRUE,technique-station3
2025-12-21,Saturday,Technique,3,,B,Nonstop sparring,Lower,TRUE,technique-station3
2025-12-21,Saturday,Technique,3,,C,Nonstop sparring,Lower,TRUE,technique-station3
