weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2024-03-10,Sunday,Kickboxing,1,1,A,R FRONT TO BACK LUNGE TO BI CURLS,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,1,1,B,SIDE LUNGES,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,1,1,C,PLANKS IN/OUT,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,1,2,A,L FRONT TO BACK LUNGE TO SH PRESS,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,1,2,B,POP SQUATS,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,1,2,C,KB SWINGS,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,2,,A,"STEP BACK, STEP IN SIDE KICKS",Upper,FALSE,
2024-03-10,Sunday,Kickboxing,2,,B,"JAB, STRT, STEP BACK, STEP IN SIDE KICKS",Upper,FALSE,
2024-03-10,Sunday,Kickboxing,2,,C,RAPID BODY KICK TO HIGH KICKS,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2024-03-10,Sunday,Kickboxing,3,,C,TENNIS BALL SLIPS,Upper,FALSE,
2024-03-10,Monday,Technique,1,1,A,Condition Zone A,Mixed,FALSE,
2024-03-10,Monday,Technique,1,1,B,SLAM BALL SLAMS,Mixed,FALSE,
2024-03-10,Monday,Technique,1,1,C,BURPEES TO FORWARD LUNGES,Mixed,FALSE,
2024-03-10,Monday,Technique,1,2,A,Condition Zone B,Mixed,FALSE,
2024-03-10,Monday,Technique,1,2,B,[FILL],Mixed,FALSE,
2024-03-10,Monday,Technique,1,2,C,[FILL],Mixed,FALSE,
2024-03-10,Monday,Technique,2,,A,Bag Work Zone,Mixed,FALSE,
2024-03-10,Monday,Technique,2,,B,1 - 4B - 4 - 3,Mixed,FALSE,
2024-03-10,Monday,Technique,2,,C,1 - 2 - STEP BK/IN L - SWITCH - 3,Mixed,FALSE,
2024-03-10,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2024-03-10,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2024-03-10,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
