weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2024-10-06,Sunday,Kickboxing,1,1,A,CABLE LOW ROWS,Upper,FALSE,
2024-10-06,Sunday,Kickboxing,1,1,B,CABLE HIGH ROWS,Upper,FALSE,
2024-10-06,Sunday,Kickboxing,1,1,C,INFINITY CIRCLES,Upper,FALSE,
2024-10-06,Sunday,Kickboxing,1,2,A,CABLE BICEP CURLS,Upper,FALSE,
2024-10-06,Sunday,Kickboxing,1,2,B,CABLE REVERSE BICEP CURLS,Upper,FALSE,
2024-10-06,Sunday,Kickboxing,1,2,C,SPOTTY DOGS,Upper,FALSE,
2024-10-06,Sunday,Kickboxing,2,,A,"L LOW KICK, 4, 3, R BODY KICK",Upper,FALSE,
2024-10-06,Sunday,Kickboxing,2,,B,"JAB, STRT, R FRONT KICK, R SIDEKICK",Upper,FALSE,
2024-10-06,Sunday,Kickboxing,2,,C,"STEP IN L SIDEKICK, STEP BK/IN R SIDEKICK",Upper,FALSE,
2024-10-06,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2024-10-06,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2024-10-06,Sunday,Kickboxing,3,,C,ATT/DEF,Upper,FALSE,
2024-10-06,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2024-10-06,Monday,Technique,1,1,B,"1,2 / PARRY, PARRY/SIDE STEP",Mixed,FALSE,
2024-10-06,Monday,Technique,1,1,C,"1,2 / PARRY, PARRY/SIDE STEP,4",Mixed,FALSE,
2024-10-06,Monday,Technique,1,2,A,"1,2 / PARRY, PARRY/SIDE STEP,4,5",Mixed,FALSE,
2024-10-06,Monday,Technique,1,2,B,[FILL],Mixed,FALSE,
2024-10-06,Monday,Technique,1,2,C,[FILL],Mixed,FALSE,
2024-10-06,Monday,Technique,2,,A,1 - 1B - 4 - 3B - 4,Mixed,FALSE,
2024-10-06,Monday,Technique,2,,B,1 - 2 - WEAVE R/L - 3 - 4B,Mixed,FALSE,
2024-10-06,Monday,Technique,2,,C,FREESTYLE,Mixed,FALSE,
2024-10-06,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2024-10-06,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2024-10-06,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2024-09-29,Sunday,Kickboxing,1,1,A,TWISTING BICEP CURLS,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,1,1,B,PUSH-UPS TO KNEE DRIVE,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,1,1,C,PLANK JACKS,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,1,2,A,TRICEPS KICKBACKS,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,1,2,B,RENEGADE ROWS,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,1,2,C,PLANK IN/OUTS,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,2,,A,"JAB, STRT, R BODY KICK, R HIGH KICK",Upper,FALSE,
2024-09-29,Sunday,Kickboxing,2,,B,"JAB, R BODY KICK, L HOOK, R HIGH KICK",Upper,FALSE,
2024-09-29,Sunday,Kickboxing,2,,C,FREESTYLE,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2024-09-29,Sunday,Kickboxing,3,,C,ATT/DEF,Upper,FALSE,
2024-09-29,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2024-09-29,Monday,Technique,1,1,B,1/ PARRY,Mixed,FALSE,
2024-09-29,Monday,Technique,1,1,C,"1,2/ PARRY, BLOCK, STEP IN",Mixed,FALSE,
2024-09-29,Monday,Technique,1,2,A,"1,2/ … , STEP IN, BODY SHOTS",Mixed,FALSE,
2024-09-29,Monday,Technique,1,2,B,[FILL],Mixed,FALSE,
2024-09-29,Monday,Technique,1,2,C,[FILL],Mixed,FALSE,
2024-09-29,Monday,Technique,2,,A,WEAVE R - 3B - 4 - WEAVE L - 4B -3,Mixed,FALSE,
