weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2024-12-08,Sunday,Kickboxing,1,1,A,CABLE BICEPS CURL,Upper,FALSE,
2024-12-08,Sunday,Kickboxing,1,1,B,CABLE CRUNCHES,Upper,FALSE,
2024-12-08,Sunday,Kickboxing,1,1,C,CABLE Y RAISES,Upper,FALSE,
2024-12-08,Sunday,Kickboxing,1,2,A,CABLE REVERSE BICEPS CURL,Upper,FALSE,
2024-12-08,Sunday,Kickboxing,1,2,B,WEIGHTED HIGH KNEES,Upper,FALSE,
2024-12-08,Sunday,Kickboxing,1,2,C,CABLE LOW ROWS,Upper,FALSE,
2024-12-08,Sunday,Kickboxing,2,,A,"JAB, STRT, FRONT KICK, ELBOW",Upper,FALSE,
2024-12-08,Sunday,Kickboxing,2,,B,"1, 2, STEP BK/IN, FAKE KNEE, FRONT KICK",Upper,FALSE,
2024-12-08,Sunday,Kickboxing,2,,C,"LOW, BODY, HIGH KICK",Upper,FALSE,
2024-12-08,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2024-12-08,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2024-12-08,Sunday,Kickboxing,3,,C,FRONT SPLITS,Upper,FALSE,
2024-12-08,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2024-12-08,Monday,Technique,1,1,B,"1/ SLIP R/1, 4 / BLK",Mixed,FALSE,
2024-12-08,Monday,Technique,1,1,C,"1/ SLIP R/1, 4, 3 / BLK, W. R/3B",Mixed,FALSE,
2024-12-08,Monday,Technique,1,2,A,"1/ SLIP R/1, 4, 3 / BLK, W. R/3B, 4",Mixed,FALSE,
2024-12-08,Monday,Technique,1,2,B,[FILL],Mixed,FALSE,
2024-12-08,Monday,Technique,1,2,C,[FILL],Mixed,FALSE,
2024-12-08,Monday,Technique,2,,A,1 - 2 - 4 - 4B - L ELBOW,Mixed,FALSE,
2024-12-08,Monday,Technique,2,,B,1 - 2 - SLIP R/L - WEAVE R - 4 - 3,Mixed,FALSE,
2024-12-08,Monday,Technique,2,,C,"JAB, SLIP L/R, STRT, SLIP R/L, JAB …",Mixed,FALSE,
2024-12-08,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2024-12-08,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2024-12-08,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2024-12-08,Tuesday,Boxing,1,1,A,TRICEPS KICK BACKS,Upper,FALSE,
2024-12-08,Tuesday,Boxing,1,1,B,SUICIDES,Upper,FALSE,
2024-12-08,Tuesday,Boxing,1,1,C,WEIGHTED LOW SQUAT SUICIDES,Upper,FALSE,
