weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-11-30,Sunday,Kickboxing,1,1,A,PULLOVERS,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,1,1,B,TRICEPS GET-UPS,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,1,1,C,V-SET HOLD DB SWITCHES,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,1,2,A,R ISOLATION BICEP CURLS,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,1,2,B,SIT-UP TO 1,2S,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,1,2,C,L ISOLATION BICEP CURLS,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,2,,A,"1,2, SWITCH KICK, R FRONT KICK",Upper,FALSE,
2025-11-30,Sunday,Kickboxing,2,,B,"1,2, STEP BK/IN/SIDE KICK,STEP BK/IN, SPINNING ELBOW",Upper,FALSE,
2025-11-30,Sunday,Kickboxing,2,,C,FREESTYLE,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-11-30,Sunday,Kickboxing,3,,C,"STEP IN/1,2",Upper,FALSE,
2025-11-30,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-11-30,Monday,Technique,1,1,B,"1,2 / SLIP R, R SIDE STEP",Mixed,FALSE,
2025-11-30,Monday,Technique,1,1,C,"1,2 / SLIP R, R SIDE STEP/4",Mixed,FALSE,
2025-11-30,Monday,Technique,1,2,A,ATTACK / DEFEND,Mixed,FALSE,
2025-11-30,Monday,Technique,1,2,B,ATTACK / DEFEND,Mixed,FALSE,
2025-11-30,Monday,Technique,1,2,C,"1,2,3 / DEFEND",Mixed,FALSE,
2025-11-30,Monday,Technique,2,,A,1 - 2 - 1 - 4 - 4B - 3,Mixed,FALSE,
2025-11-30,Monday,Technique,2,,B,1 - 2 - SWITCH/4 - SWITCH/4 - 1,Mixed,FALSE,
2025-11-30,Monday,Technique,2,,C,FREESTYLE,Mixed,FALSE,
2025-11-30,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-11-30,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-11-30,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-11-30,Tuesday,Boxing,1,1,A,R SINGLE ARM SHOULDER PRESS,Upper,FALSE,
2025-11-30,Tuesday,Boxing,1,1,B,WEIGHTED HIGH KNEES,Upper,FALSE,
2025-11-30,Tuesday,Boxing,1,1,C,PLANK TAPS TO SHOULDER TAPS,Upper,FALSE,
2025-11-30,Tuesday,Boxing,1,2,A,L SINGLE ARM SHOULDER PRESS,Upper,FALSE,
2025-11-30,Tuesday,Boxing,1,2,B,WEIGHTED JUMPING JACKS,Upper,FALSE,
2025-11-30,Tuesday,Boxing,1,2,C,BICYCLE CRUNCHES,Upper,FALSE,
2025-11-30,Tuesday,Boxing,2,,A,1 - 2 - 2 - 3 - 4B,Upper,FALSE,
2025-11-30,Tuesday,Boxing,2,,B,1 - 2 - WEAVE R/L - 3B - 4 - 3B,Upper,FALSE,
2025-11-30,Tuesday,Boxing,2,,C,FREESTYLE,Upper,FALSE,
2025-11-30,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2025-11-30,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-11-30,Tuesday,Boxing,3,,C,REACTION BALL,Upper,FALSE,
2025-11-30,Wednesday,Conditioning,1,1,A,ATT/DEF,Lower,FALSE,
2025-11-30,Wednesday,Conditioning,1,1,B,ATT/DEF,Lower,FALSE,
2025-11-30,Wednesday,Conditioning,1,1,C,ATT/DEF,Lower,FALSE,
2025-11-30,Wednesday,Conditioning,1,2,A,"1,2 / SLIP R, R SIDE STEP",Lower,FALSE,
2025-11-30,Wednesday,Conditioning,1,2,B,"1,2 / SLIP R, R SIDE STEP/4",Lower,FALSE,
2025-11-30,Wednesday,Conditioning,1,2,C,[FILL],Lower,FALSE,
2025-11-30,Wednesday,Conditioning,2,,A,1 - 2 - 3 - 4B - 3,Lower,FALSE,
2025-11-30,Wednesday,Conditioning,2,,B,1 - 1 - SLIP L/4 - 3 - 4,Lower,FALSE,
2025-11-30,Wednesday,Conditioning,2,,C,"10 SECS 1,2S, 10 SECS 3,4S, 10 SECS BODY",Lower,FALSE,
2025-11-30,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-11-30,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-11-30,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-11-30,Thursday,Kickboxing,1,1,A,R SINGLE ARM SHOULDER PRESS,Mixed,FALSE,
2025-11-30,Thursday,Kickboxing,1,1,B,WEIGHTED HIGH KNEES,Mixed,FALSE,
2025-11-30,Thursday,Kickboxing,1,1,C,PLANK TAPS TO SHOULDER TAPS,Mixed,FALSE,
2025-11-30,Thursday,Kickboxing,1,2,A,L SINGLE ARM SHOULDER PRESS,Mixed,FALSE,
2025-11-30,Thursday,Kickboxing,1,2,B,WEIGHTED JUMPING JACKS,Mixed,FALSE,
2025-11-30,Thursday,Kickboxing,1,2,C,BICYCLE CRUNCHES,Mixed,FALSE,
